id_imovel,localidade,tipo,area_m2,quartos,banheiros,vagas_garagem,idade_anos,preco_venda
IMV-10000,Candangolândia,Apartamento,152.0,2.0,2.0,2.0,24.0,468757.0
IMV-10001,Riacho Fundo,Casa,126.0,4.0,5.0,2.0,30.0,366019.0
IMV-10002,Riacho Fundo,Casa,587.0,4.0,4.0,4.0,36.0,1777368.0
IMV-10003,Gama,Apartamento,78.0,3.0,2.0,1.0,14.0,262673.0
IMV-10004,Cabeceira Grande,Casa,255.0,,4.0,2.0,3.0,374877.0
IMV-10005,Cocalzinho de Goiás,,410.0,5.0,7.0,4.0,28.0,641001.0
IMV-10006,Asa Sul,Apartamento,111.0,1.0,1.0,2.0,9.0,1060391.0
IMV-10007,Jardim Botânico,Casa,382.0,5.0,5.0,3.0,6.0,2297883.0
IMV-10008,Planaltina (GO),Casa,400.0,4.0,4.0,4.0,33.0,583050.0
IMV-10009,Barro Alto,Casa,352.0,4.0,6.0,4.0,36.0,452685.0
IMV-10010,Santa Maria,Casa,375.0,3.0,5.0,4.0,6.0,1122299.0
IMV-10011,Flores de Goiás,Casa,188.0,5.0,6.0,2.0,40.0,222997.0
IMV-10012,Cocalzinho de Goiás,Casa,538.0,5.0,6.0,3.0,28.0,790539.0
IMV-10013,Vicente Pires,Casa,324.0,3.0,3.0,2.0,2.0,1509012.0
IMV-10014,Fercal,Casa,224.0,,5.0,4.0,27.0,395016.0
IMV-10015,Santo Antônio do Descoberto,Casa,296.0,,5.0,3.0,12.0,601091.0
IMV-10016,Goianésia,Casa,501.0,4.0,6.0,3.0,11.0,988020.0
IMV-10017,Águas Claras,Apartamento,177.0,4.0,3.0,1.0,12.0,1390930.0
IMV-10018,Riacho Fundo,Apartamento,158.0,1.0,1.0,1.0,1.0,668862.0
IMV-10019,Candangolândia,Casa,528.0,3.0,3.0,4.0,11.0,2152355.0
IMV-10020,Alvorada do Norte,Casa,326.0,3.0,5.0,4.0,,453706.0
IMV-10021,Cavalcante,Casa,173.0,5.0,7.0,4.0,8.0,315398.0
IMV-10022,Ceilândia,Apartamento,130.0,4.0,2.0,1.0,9.0,516727.0
IMV-10023,Sobradinho,Casa,156.0,,4.0,4.0,11.0,626233.0
IMV-10024,Flores de Goiás,Casa,389.0,4.0,4.0,,6.0,550030.0
IMV-10025,Planaltina,Apartamento,151.0,1.0,1.0,1.0,30.0,315311.0
IMV-10026,Cidade Ocidental,Casa,523.0,5.0,5.0,3.0,19.0,1204000.0
IMV-10027,Cabeceira Grande,Casa,255.0,5.0,7.0,2.0,0.0,381863.0
